year,player,team,affiliation,round,round_pick,overall_pick,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan,player_id
2002,Roger Mason Jr.,Chicago Bulls,Virginia,2,2,30,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2005,Roko Ukic,Toronto Raptors,KK Split (Croatia),2,11,41,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2004,Romain Sato,San Antonio Spurs,Xavier,2,23,52,G,11.27,3.04,3.18,31.5,35.5,8,6.00,8.46,9.1,74.0,75.25,102.5,204.0,83.0,
2019,Romeo Langford,Boston Celtics,Indiana,1,14,14,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,9.00,9.00,76.5,78.0,103.0,195.28,83.0,
2013,Romero Osby,Orlando Magic,Oklahoma,2,21,51,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2015,Rondae Hollis-Jefferson,Portland Trail Blazers,Arizona,1,23,23,F,10.41,3.19,3.12,32.0,38.0,13,5.00,8.75,9.75,77.5,79.0,104.0,210.8,86.0,holliro01
2006,Ronnie Brewer,Utah Jazz,Arkansas,1,14,14,G,11.32,3.04,3.14,35.0,41.0,19,5.00,8.46,9.1,77.75,78.75,103.5,223.0,83.25,brewero02
2005,Ronny Turiaf,Los Angeles Lakers,Gonzaga,2,7,37,F,11.50,3.1,3.23,30.5,33.0,15,7.79,8.95,9.59,80.0,81.25,106.5,237.8,85.5,turiaro01
2008,Roy Hibbert,Toronto Raptors,Georgetown,1,17,17,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,hibbero01
2004,Royal Ivey,Atlanta Hawks,Brigham Young,2,8,37,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,iveyro01
2012,Royce White,Houston Rockets,Iowa State,1,16,16,F,11.46,3.1,3.3,29.41,34.23,11.36,10.60,9.50,11.50,79.0,80.0,104.5,260.6,84.0,whitero03
2001,Ruben Boumtje-Boumtje,Portland Trail Blazers,Georgetown,2,21,49,C,11.84,3.1,3.33,26.5,31.0,6,6.00,9.12,9.86,83.5,83.73,111.0,245.0,88.0,boumtru01
2007,Rudy Fernandez,Phoenix Suns,Joventut Badalona (Spain),1,24,24,G,10.48,3.04,3.33,26.5,35.5,0,6.39,8.46,9.1,76.75,78.0,101.5,172.0,79.5,
2006,Rudy Gay,Houston Rockets,Connecticut,1,8,8,F,11.03,3.1,3.32,33.0,40.5,9,5.70,8.95,9.59,79.0,80.0,107.5,222.0,87.0,gayru01
2013,Rudy Gobert,Denver Nuggets,Cholet Basket (France),1,27,27,C,12.85,3.19,3.57,25.0,29.0,7,4.40,9.75,10.00,84.5,86.0,115.0,237.6,92.5,goberru01
2019,Rui Hachimura,Washington Wizards,Gonzaga,1,9,9,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2014,Russ Smith,Philadelphia 76ers,Louisville,2,17,47,G,11.57,3.01,3.27,29.5,34.0,8.78,3.50,8.25,8.50,71.5,72.75,95.0,160.0,75.5,smithru01
2008,Russell Westbrook,Oklahoma City Thunder,California-Los Angeles,1,4,4,G,10.98,3.04,3.08,30.0,36.5,12,4.80,8.46,9.1,74.25,75.5,100.0,192.0,79.75,westbru01
2008,Ryan Anderson,New Jersey Nets,California,1,21,21,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,anderry01
2005,Ryan Gomes,Boston Celtics,Providence,2,20,50,F,12.49,3.1,3.24,26.5,30.5,9,7.79,8.95,9.59,78.5,79.75,106.5,248.0,86.0,gomesry01
2006,Ryan Hollins,Charlotte Bobcats,California-Los Angeles,2,20,50,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,holliry01
2002,Ryan Humphrey,Utah Jazz,Notre Dame,1,19,19,F,11.75,3.1,3.20,31.5,37.5,13,7.79,8.95,9.59,78.0,80.81,104.5,223.0,84.0,humphry01
2013,Ryan Kelly,Los Angeles Lakers,Duke,2,18,48,F,11.46,3.1,3.3,29.41,34.23,11.36,14.75,9.00,10.00,81.75,83.75,110.0,228.0,83.5,kellyry01
2010,Ryan Reid,Indiana Pacers,Florida State,2,27,57,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,reidry01
2010,Ryan Richards,San Antonio Spurs,CB Gran Canaria (Spain),2,19,49,F,11.33,3.1,3.37,25.0,28.5,4,8.00,9.00,9.75,82.5,83.75,110.0,230.2,85.5,
2005,Salim Stoudamire,Atlanta Hawks,Arizona,2,1,31,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,stoudsa01
2002,Sam Clancy,Philadelphia 76ers,Southern California,2,16,44,F,11.47,3.1,3.13,31.0,34.0,15,8.00,8.95,9.59,78.25,80.81,107.0,242.0,86.75,
2015,Sam Dekker,Houston Rockets,Wisconsin,1,18,18,F,10.64,2.96,3.28,25.5,34.5,5,7.50,8.50,9.25,79.75,81.0,106.0,218.6,83.5,dekkesa01
2009,Sam Young,Memphis Grizzlies,Pittsburgh,2,6,36,F,11.47,3.1,3.45,27.5,33.0,11.36,4.90,8.95,9.59,77.25,78.75,105.5,222.8,82.75,youngsa01
2007,Sammy Mejia,Detroit Pistons,DePaul,2,27,57,G,11.87,3.04,3.49,27.0,31.5,7,8.30,8.46,9.1,77.0,79.0,105.0,218.0,83.0,
2001,Samuel Dalembert,Philadelphia 76ers,Seton Hall,1,26,26,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,dalemsa01
2003,Sani Becirovic,Denver Nuggets,Virtus Pallacanestro Bologna (Italy),2,17,46,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2008,Sasha Kaun,Oklahoma City Thunder,Kansas,2,26,56,C,12.06,3.1,3.20,29.0,32.0,13,9.60,9.12,9.86,81.0,82.75,110.0,247.0,88.0,kaunsa01
2003,Sasha Pavlovic,Utah Jazz,KK Buducnost Podgorica (Montenegro),1,19,19,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2004,Sasha Vujacic,Los Angeles Lakers,Pallalcesto Amatori Udine (Italy),1,27,27,G,11.11,3.04,3.22,30.1,36.1,0,14.10,8.46,9.1,77.5,76.12,101.0,193.0,77.5,
2015,Satnam Singh,Dallas Mavericks,IMG Academy,2,22,52,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2000,Scoonie Penn,Atlanta Hawks,Ohio State,2,28,57,NA,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,
2001,Sean Lampley,Chicago Bulls,California,2,16,44,F,11.06,3.1,3.12,36.0,40.0,12,8.00,8.95,9.59,77.5,80.81,101.0,213.0,81.25,lamplse01
