year,player_id,name,games_played,minutes_played,minutes_per_game,box_plus_minus,classification
2000,stewami01,Michael Stewart,42,389,9.261904761904765,-8.2,Exclude
2000,stithbr01,Bryant Stith,45,691,15.355555555555556,0.2,Exclude
2000,stockjo01,John Stockton,82,2432,29.65853658536585,6.6,All-Star
2000,stojape01,Peja Stojaković,74,1749,23.635135135135137,1.6,All-Star
2000,stoudda01,Damon Stoudamire,78,2372,30.41025641025641,0.9,Starter
2000,stricer01,Erick Strickland,68,2025,29.779411764705888,1.1,Role Player
2000,stricma01,Mark Strickland,58,663,11.43103448275862,0.7999999999999999,Exclude
2000,stricro02,Rod Strickland,69,2188,31.71014492753623,1.0,Starter
2000,stronde01,Derek Strong,20,148,7.4,-3.7,Exclude
2000,sundobr01,Bruno Šundov,14,61,4.357142857142857,-11.0,Exclude
2000,surabo01,Bob Sura,73,2216,30.356164383561644,1.7,Role Player
2000,szczewa02,Wally Szczerbiak,73,2171,29.73972602739726,0.9,Starter
2000,tabakza01,Žan Tabak,18,114,6.333333333333332,-2.1,Exclude
2000,taylojo01,Johnny Taylor,6,34,5.666666666666668,-8.417647058823531,Exclude
2000,tayloma01,Maurice Taylor,62,2227,35.91935483870968,-3.8,Role Player
2000,terryja01,Jason Terry,81,1888,23.308641975308642,-1.0,Starter
2000,thomaja01,Jamel Thomas,7,46,6.571428571428571,-5.232608695652174,Exclude
2000,thomajo02,John Thomas,55,477,8.672727272727272,-6.9,Exclude
2000,thomake01,Kenny Thomas,72,1797,24.95833333333333,-2.6,Role Player
2000,thomaku01,Kurt Thomas,80,1971,24.6375,-0.1,Role Player
2000,thomati01,Tim Thomas,80,2093,26.1625,-0.8,Role Player
2000,thorpot01,Otis Thorpe,51,777,15.235294117647056,-4.0,Exclude
2000,traylro01,Robert Traylor,44,447,10.159090909090908,-1.5,Role Player
2000,trentga01,Gary Trent,11,301,27.363636363636363,-2.8,Role Player
2000,turkcmi01,Mirsad Türkcan,17,90,5.294117647058823,-6.366666666666666,Exclude
2000,turnewa01,Wayne Turner,3,41,13.666666666666664,-12.5,Exclude
2000,vanexni01,Nick Van Exel,79,2950,37.34177215189873,-0.2,Starter
2000,vanhoke01,Keith Van Horn,80,2782,34.775,-0.3,Starter
2000,vaughja01,Jacque Vaughn,78,884,11.333333333333336,-4.3,Role Player
2000,vaughlo01,Loy Vaught,43,292,6.790697674418603,-5.5,Exclude
2000,vinsofr01,Fred Vinson,8,40,5.0,-13.1,Exclude
2000,walkean02,Antoine Walker,82,3003,36.621951219512205,0.7,Starter
2000,walkesa01,Samaki Walker,71,980,13.802816901408448,-2.7,Role Player
2000,wallabe01,Ben Wallace,81,1959,24.18518518518519,1.8,All-Star
2000,wallajo01,John Wallace,60,798,13.3,-2.7999999999999994,Exclude
2000,wallara01,Rasheed Wallace,81,2845,35.123456790123456,2.2,All-Star
2000,waltere01,Rex Walters,33,389,11.787878787878787,-4.4,Exclude
2000,wardch01,Charlie Ward,72,1986,27.58333333333333,2.8,Starter
2000,weathcl01,Clarence Weatherspoon,78,1615,20.7051282051282,1.2,Starter
2000,webbech01,Chris Webber,75,2880,38.4,5.7,All-Star
2000,wellsbo01,Bonzi Wells,66,1162,17.606060606060606,1.1,Starter
2000,wennibi01,Bill Wennington,7,57,8.142857142857142,-5.8,Exclude
2000,wesleda01,David Wesley,82,2760,33.65853658536585,0.1,Role Player
2000,westdo01,Doug West,38,581,15.289473684210524,-4.2,Exclude
2000,westma01,Mark West,22,127,5.7727272727272725,-5.1,Exclude
2000,whiteja01,Jahidi White,80,1537,19.2125,-2.7,Bust
2000,whitnch01,Chris Whitney,82,1627,19.841463414634145,1.1,Role Player
2000,williaa01,Aaron Williams,81,1545,19.074074074074076,0.3,Role Player
2000,willial02,Alvin Williams,55,779,14.163636363636366,-1.1,Starter
2000,willico02,Corliss Williamson,76,1707,22.460526315789476,-2.1,Role Player
2000,willier01,Eric Williams,68,1378,20.264705882352946,-1.7,Role Player
2000,willija02,Jason Williams,81,2760,34.074074074074076,-1.9,Starter
2000,willije01,Jerome Williams,82,2102,25.63414634146341,1.2,Starter
2000,willike02,Kevin Willis,79,1679,21.253164556962027,-5.6,Role Player
2000,willilo01,Lorenzo Williams,8,76,9.5,1.6,Exclude
2000,willimo01,Monty Williams,75,1501,20.01333333333333,-1.1,Role Player
2000,willisc01,Scott Williams,68,1488,21.882352941176467,-2.0,Bust
2000,willish01,Shammond Williams,43,517,12.023255813953488,-2.8,Role Player
2000,williwa02,Walt Williams,76,1859,24.460526315789476,1.2,Role Player
2000,willode01,Dedric Willoughby,25,508,20.32,-1.0,Exclude
2000,wingada01,David Wingate,7,32,4.571428571428571,-11.6,Exclude
2000,workmha01,Haywoode Workman,36,350,9.722222222222221,-2.5457142857142863,Exclude
2000,wrighlo02,Lorenzen Wright,75,1205,16.066666666666666,-3.5,Role Player
2000,youngti01,Tim Young,25,137,5.48,-4.9,Exclude
2001,abdulma02,Mahmoud Abdul-Rauf,41,486,11.853658536585364,-1.0,Exclude
2001,abdulta01,Tariq Abdul-Wahad,29,420,14.482758620689655,-5.8,Exclude
2001,abdursh01,Shareef Abdur-Rahim,81,3241,40.01234567901235,1.8,Starter
2001,alexaco01,Cory Alexander,26,227,8.73076923076923,-6.0,Exclude
2001,alexaco02,Courtney Alexander,65,1382,21.26153846153846,-4.290448625180897,Exclude
2001,allenra02,Ray Allen,82,3129,38.15853658536585,5.5,All-Star
2001,alstora01,Rafer Alston,37,288,7.783783783783784,-2.1,Starter
2001,amaecjo01,John Amaechi,82,1710,20.853658536585368,-6.1,Bust
2001,anderde01,Derek Anderson,82,2859,34.865853658536594,2.4,Starter
2001,anderke01,Kenny Anderson,33,849,25.72727272727273,-2.0,Role Player
2001,anderni01,Nick Anderson,21,169,8.04761904761905,-3.2000000000000006,Exclude
2001,andersh01,Shandon Anderson,82,2396,29.21951219512195,-0.4,Role Player
