season,player_name,pro_id,cbb_id
2003,Steve Blake,blakest01,steve-blake-1
2003,Slavko Vraneš,vranesl01,
2003,Derrick Zimmerman,zimmede01,derrick-zimmerman-1
2003,Willie Green,greenwi01,willie-green-1
2003,Zaza Pachulia,pachuza01,
2003,Keith Bogans,boganke01,keith-bogans-1
2003,Matt Bonner,bonnema01,matt-bonner-1
2003,Sani Bečirovič,becirsa01,
2003,Mo Williams,willima01,mo-williams-1
2003,James Lang,langja01,
2003,James Jones,jonesja02,james-jones-1
2003,Paccelis Morlende,morlepa01,
2003,Kyle Korver,korveky01,kyle-korver-1
2003,Nedžad Sinanović,sinanne01,
2003,Brandon Hunter,huntebr01,brandon-hunter-1
2003,Xue Yuyang,yuyanxu01,
2003,Andreas Glyniadakis,glynian01,
2004,Dwight Howard,howardw01,
2004,Emeka Okafor,okafoem01,emeka-okafor-1
2004,Ben Gordon,gordobe01,ben-gordon-1
2004,Shaun Livingston,livinsh01,
2004,Devin Harris,harride01,devin-harris-1
2004,Josh Childress,childjo01,josh-childress-1
2004,Luol Deng,denglu01,luol-deng-1
2004,Rafael Araújo,araujra01,rafael-araujo-1
2004,Andre Iguodala,iguodan01,andre-iguodala-1
2004,Luke Jackson,jackslu02,luke-jackson-1
2004,Andris Biedriņš,biedran01,
2004,Robert Swift,swiftro01,
2004,Sebastian Telfair,telfase01,
2004,Kris Humphries,humphkr01,kris-humphries-1
2004,Al Jefferson,jeffeal01,
2004,Kirk Snyder,snydeki01,kirk-snyder-1
2004,Josh Smith,smithjo03,
2004,J.R. Smith,smithjr01,
2004,Dorell Wright,wrighdo01,
2004,Jameer Nelson,nelsoja01,jameer-nelson-1
2004,Pavel Podkolzin,podkopa01,
2004,Viktor Khryapa,khryavi01,
2004,Sergei Monia,moniase01,
2004,Delonte West,westde01,delonte-west-1
2004,Tony Allen,allento01,tony-allen-1
2004,Kevin Martin,martike02,kevin-martin-1
2004,Sasha Vujačić,vujacsa01,
2004,Beno Udrih,udrihbe01,
2004,David Harrison,harrida01,david-harrison-1
2004,Anderson Varejão,varejan01,
2004,Jackson Vroman,vromaja01,jackson-vroman-1
2004,Peter John Ramos,ramospe01,
2004,Lionel Chalmers,chalmli01,lionel-chalmers-1
2004,Donta Smith,smithdo04,
2004,Andre Emmett,emmetan01,andre-emmett-1
2004,Antonio Burks,burksan01,antonio-burks-1
2004,Royal Ivey,iveyro01,royal-ivey-1
2004,Chris Duhon,duhonch01,chris-duhon-1
2004,Albert Miralles,miralal01,
2004,Justin Reed,reedju01,justin-reed-1
2004,Viktor Sanikidze,sanikvi01,
2004,Trevor Ariza,arizatr01,trevor-ariza-1
2004,Bernard Robinson,robinbe01,bernard-robinson-1
2004,Ha Seung-Jin,seungha01,
2004,Pape Sow,sowpa01,pape-sow-1
2004,Sergei Lishouk,lishcse01,
2004,Vassilis Spanoulis,spanova01,
2004,Matt Freije,freijma01,matt-freije-1
2004,Luis Flores,florelu01,luis-flores-1
2004,Sergei Karaulov,karause01,
2005,Andrew Bogut,bogutan01,andrew-bogut-1
2005,Marvin Williams,willima02,marvin-williams-1
2005,Deron Williams,willide01,deron-williams-1
2005,Chris Paul,paulch01,chris-paul-1
2005,Raymond Felton,feltora01,raymond-felton-1
2005,Martell Webster,webstma02,
2005,Charlie Villanueva,villach01,charlie-villanueva-1
2005,Channing Frye,fryech01,channing-frye-1
2005,Ike Diogu,dioguik01,ike-diogu-1
2005,Andrew Bynum,bynuman01,
2005,Fran Vázquez,vazqufr01,
2005,Yaroslav Korolev,korolya01,
2005,Sean May,mayse01,sean-may-1
2005,Rashad McCants,mccanra01,rashad-mccants-1
2005,Antoine Wright,wrighan01,antoine-wright-1
2005,Joey Graham,grahajo01,joey-graham-1
2005,Danny Granger,grangda01,danny-granger-1
2005,Gerald Green,greenge01,
2005,Hakim Warrick,warriha01,hakim-warrick-1
2005,Julius Hodge,hodgeju01,julius-hodge-1
2005,Nate Robinson,robinna01,nate-robinson-1
2005,Jarrett Jack,jackja01,jarrett-jack-1
2005,Francisco García,garcifr01,francisco-garcia-1
2005,Luther Head,headlu01,luther-head-1
2005,Johan Petro,petrojo01,
2005,Jason Maxiell,maxieja01,jason-maxiell-1
2005,Linas Kleiza,kleizli01,linas-kleiza-1
2005,Ian Mahinmi,mahinia01,
2005,Wayne Simien,simiewa01,wayne-simien-1
2005,David Lee,leeda02,david-lee-1
2005,Salim Stoudamire,stoudsa01,salim-stoudamire-1
2005,Daniel Ewing,ewingda01,daniel-ewing-1
2005,Brandon Bass,bassbr01,brandon-bass-1
2005,C.J. Miles,milescj01,
2005,Ersan İlyasova,ilyaser01,
2005,Ronny Turiaf,turiaro01,ronny-turiaf-1
2005,Travis Diener,dienetr01,travis-diener-1
2005,Von Wafer,wafervo01,von-wafer-1
2005,Monta Ellis,ellismo01,
2005,Roko Ukić,ukicro01,
2005,Chris Taft,taftch01,chris-taft-1
2005,Mile Ilić,ilicmi01,
2005,Martynas Andriuškevičius,andrima01,
2005,Lou Williams,willilo02,
2005,Erazem Lorbek,lorbeer01,erazem-lorbek-1
2005,Bracey Wright,wrighbr02,bracey-wright-1
2005,Mickaël Gelabale,gelabmi01,
2005,Andray Blatche,blatcan01,
2005,Ryan Gomes,gomesry01,ryan-gomes-1
