player,position,lane_agility,shuttle_run,three_quarter_sprint,standing_vertical,max_vertical,bench_press,season,body_fat,hand_length,hand_width,height_shoes,standing_reach,weight,wingspan
Eddy Curry,C,12.25,,3.53,28.0,31.0,16,2001.0,16.5,,,,111.0,301.0,90.5
Tate Decker,SF,12.19,,3.47,25.5,28.5,13,2001.0,13.6,,,,107.0,218.0,83.75
DeSagana Diop,C,12.37,,3.56,21.5,25.5,15,2001.0,21.0,,,,113.0,314.0,90.5
Robb Dryden,C,12.47,,3.46,27.0,30.0,8,2001.0,8.0,,,,110.25,241.0,86.5
Maurice Evans,SG,10.08,,3.12,34.5,37.5,22,2001.0,4.0,,,,101.0,221.0,80.0
Anthony Evans,PF,12.56,,3.31,31.5,33.0,18,2001.0,12.9,,,,101.5,267.0,83.5
Benjamin Eze,C-PF,13.05,,3.36,29.0,32.0,14,2001.0,3.9,,,,109.0,232.0,90.0
Kimani Ffriend,C-PF,11.46,,3.09,32.0,33.0,9,2001.0,11.7,,,,108.5,228.0,82.75
Alton Ford,PF,11.70,,3.16,34.5,36.5,21,2001.0,8.0,,,,102.5,271.0,82.5
Joseph Forte,SG,11.51,,3.19,26.5,33.0,10,2001.0,,,,,100.5,193.0,78.5
Jason Gardner,PG,10.88,,2.92,34.5,40.0,9,2001.0,8.0,,,,92.5,188.0,73.25
Jerry Green,PG-SG,11.70,,3.17,28.5,35.0,13,2001.0,5.5,,,,99.0,179.0,78.25
Kenny Gregory,SF,11.33,,3.10,39.5,45.5,10,2001.0,6.7,,,,101.0,200.0,83.25
Eddie Griffin,PF-SF,11.77,,3.21,26.5,33.0,3,2001.0,4.0,,,,110.0,222.0,87.0
Trenton Hassell,SG-SF,11.57,,3.29,35.5,37.5,12,2001.0,5.3,,,,99.5,205.0,80.0
Kirk Haston,PF-SF,12.25,,3.35,27.0,31.5,11,2001.0,10.5,,,,106.0,242.0,84.25
Charles Hathaway,C,,,,,,,2001.0,,,,,107.5,274.0,86.0
Brendan Haywood,C,12.87,,3.50,27.0,28.5,17,2001.0,12.9,,,,113.5,266.0,90.5
Michael Hicks,SG,11.38,,3.19,33.0,40.5,13,2001.0,7.3,,,,100.5,197.0,81.25
Steven Hunter,C-PF,11.99,,3.15,30.5,38.5,11,2001.0,5.3,,,,108.0,224.0,88.0
Andre Hutson,PF,11.25,,3.30,29.0,32.5,17,2001.0,11.7,,,,105.5,244.0,83.75
Nate James,SF,11.42,,3.31,26.0,31.0,23,2001.0,6.0,,,,103.0,196.0,82.75
Richard Jefferson,SF,11.19,,3.15,33.0,38.5,14,2001.0,6.7,,,,103.0,223.0,84.0
Horace Jenkins,PG,10.97,,3.10,34.5,41.0,2,2001.0,6.0,,,,97.0,171.0,77.25
Darrell Johns,C,12.41,,3.59,23.5,30.0,18,2001.0,19.1,,,,111.5,278.0,89.0
Joe Johnson,SF-SG,12.05,,3.40,32.5,36.5,12,2001.0,6.7,,,,105.0,226.0,81.0
Ken Johnson,C,11.27,,3.12,32.5,35.0,13,2001.0,9.9,,,,109.5,227.0,88.0
Darren Kelly,SG-PG,11.38,,3.21,30.5,34.5,1,2001.0,6.7,,,,100.0,178.0,78.75
Sean Lampley,SF,11.06,,3.12,36.0,40.0,12,2001.0,8.0,,,,101.0,213.0,81.25
Zach Marbury,PG-SG,11.53,,3.10,33.0,36.5,0,2001.0,6.7,,,,96.5,183.0,75.5
Mike Mardesich,C-PF,11.65,,3.45,24.0,30.0,8,2001.0,13.6,,,,108.5,247.0,84.5
DeMarcus Minor,SG,10.57,,3.15,29.0,41.0,9,2001.0,6.7,,,,99.5,207.0,80.25
Jamario Moon,SF,11.64,,3.08,33.0,43.0,0,2001.0,5.3,,,,103.0,185.0,83.5
Troy Murphy,PF,11.22,,3.43,28.5,34.5,11,2001.0,11.7,,,,105.5,230.0,83.0
Troy Ostler,PF-SF,13.42,,3.50,26.5,29.5,2,2001.0,8.0,,,,106.5,200.0,85.5
Lazaros Papadopoulos,C-PF,12.00,,3.70,23.0,26.0,4,2001.0,11.7,,,,110.5,227.0,86.5
Rashad Phillips,PG,11.93,,3.27,27.0,32.0,5,2001.0,12.4,,,,92.0,166.0,73.5
Demetrius Porter,PG,11.50,,3.34,26.0,31.0,5,2001.0,12.4,,,,94.0,178.0,74.75
Martin Rancik,PF-SF,10.77,,3.19,32.0,37.0,14,2001.0,8.0,,,,102.5,230.0,80.0
Jason Richardson,SF-SG,11.75,,3.12,32.5,39.5,15,2001.0,5.3,,,,102.5,213.0,83.5
Norman Richardson,SG,10.97,,3.15,30.5,35.5,2,2001.0,6.0,,,,99.0,180.0,76.5
Jeryl Sasser,PG-SG,11.47,,3.22,29.0,34.0,1,2001.0,6.7,,,,103.5,194.0,82.5
Kenny Satterfield,PG,12.05,,3.20,28.5,33.0,3,2001.0,6.7,,,,98.0,176.0,76.5
Brian Scalabrine,PF-SF,11.75,,3.47,27.0,30.5,14,2001.0,13.6,,,,105.5,241.0,81.75
Lee Scruggs,PF-SF,13.28,,3.55,23.5,29.5,0,2001.0,10.5,,,,110.5,209.0,89.75
Bobby Simmons,SF,11.69,,3.41,27.5,34.0,12,2001.0,6.7,,,,105.0,235.0,84.25
Will Solomon,PG-SG,11.30,,3.22,28.5,35.0,4,2001.0,4.0,,,,99.5,172.0,81.5
Greg Stevenson,SF,11.29,,3.23,30.0,35.5,15,2001.0,7.3,,,,102.0,215.0,84.5
Damone Thornton,PF,11.17,,3.20,33.5,37.5,19,2001.0,8.0,,,,103.75,235.0,85.75
Jamaal Tinsley,PG,11.96,,3.20,28.0,37.5,1,2001.0,13.6,,,,97.5,199.0,79.5
Tory Walker,SF,11.95,,3.25,28.0,33.0,7,2001.0,6.7,,,,104.5,187.0,83.25
Souleymane Wane,C,12.02,,3.46,29.0,30.5,9,2001.0,11.2,,,,109.0,235.0,89.0
Earl Watson,PG,10.97,,3.19,32.5,37.5,4,2001.0,4.0,,,,97.0,184.0,78.75
Rodney White,SF,12.07,,3.47,27.5,33.0,16,2001.0,9.3,,,,104.5,243.0,83.5
Loren Woods,C-PF,11.83,,3.48,24.5,28.0,10,2001.0,9.3,,,,113.0,246.0,89.5
Brent Wright,PF-SF,12.25,,3.30,23.0,29.0,19,2001.0,12.4,,,,105.5,236.0,85.5
Michael Wright,PF,11.37,,3.21,27.5,33.5,18,2001.0,9.3,,,,106.5,247.0,83.5
Nene,PF,10.73,,3.19,30.0,34.0,16,2002.0,,,,,109.0,253.0,88.5
Robert Archibald,PF-C,11.34,,3.33,24.0,27.5,10,2002.0,,,,,109.5,250.0,83.75
Maurice Baker,PG,12.19,,3.29,29.5,33.0,2,2002.0,,,,,96.0,178.0,76.0
Matt Barnes,SF,10.68,,3.28,35.5,40.5,11,2002.0,,,,,96.5,226.0,81.0
Lubos Barton,SF-SG,11.20,,3.31,25.5,31.5,14,2002.0,,,,,107.0,221.0,84.0
Lonny Baxter,PF-C,11.77,,3.21,28.0,32.5,14,2002.0,,,,,107.5,264.0,85.5
Lee Benson,SF-PF,11.44,,3.29,27.5,32.5,14,2002.0,,,,,109.0,217.0,85.75
Carlos Boozer,PF,10.77,,3.31,26.5,28.5,13,2002.0,,,,,108.5,258.0,86.25
Curtis Borchardt,C,12.56,,3.63,24.0,27.0,7,2002.0,,,,,112.0,238.0,86.5
J.R. Bremer,SG-PG,10.93,,3.10,30.0,35.5,24,2002.0,,,,,96.0,188.0,74.25
Brian Brown,PG-SG,11.43,,3.29,26.0,33.0,8,2002.0,,,,,99.0,194.0,79.0
Sylvere Bryan,PF,12.03,,3.20,28.5,29.5,13,2002.0,,,,,109.5,226.0,88.5
Chris Burgess,C,11.58,,3.37,24.5,31.0,24,2002.0,,,,,109.0,246.0,83.5
Caron Butler,SF-SG,12.15,,3.33,27.0,31.0,2,2002.0,,,,,103.5,222.0,83.5
Rasual Butler,SF,11.54,,3.29,31.5,37.5,10,2002.0,,,,,105.5,198.0,84.0
Mire Chatman,PG-SG,11.12,,3.18,29.0,33.0,1,2002.0,,,,,98.0,174.0,78.0
Chris Christoffersen,C,12.55,,3.39,28.0,31.0,13,2002.0,,,,,109.0,291.0,87.5
Lenny Cooke,SG-SF,,,,,,0,2002.0,,,,,107.0,214.0,85.0
Craig Dawson,SG-SF,12.06,,3.25,26.0,30.0,0,2002.0,,,,,102.0,200.0,78.25
Mike Dunleavy,SF,11.55,,3.30,24.5,29.0,11,2002.0,,,,,106.0,230.0,81.0
Teddy Dupay,PG,10.53,,3.19,28.0,33.0,16,2002.0,,,,,90.5,178.0,70.75
Corsley Edwards,PF,12.18,,3.31,28.5,33.0,12,2002.0,,,,,106.5,285.0,82.75
Andy Ellis,PF,11.69,,3.34,32.0,35.5,6,2002.0,,,,,102.0,220.0,82.25
