player_id,season,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,win_shares,win_shares_per_40_minutes,num_seasons
gabe-pruitt-1,2006,20.2,101.35141418055018,0.6,7.0,,pac-12,,,67.65168539325843,1.4667183262301433,0.5166594343277799,270.6346377373111,0.4163328167376986,112.65323518016272,0.35164858581944985,95.65013560635413,0.8009984502130957,76.65323518016272,25.667183262301435,24.332816737698565,860.3343665246028,,,14.667183262301434,1.8662533901588532,55.0015497869043,,356.61604029445954,,Guard,,49.66253390158853,southern-california,0.5566532351801626,150.9783029833398,0.35998450213095695,54.65633475397133,7.0,82.31886865555985,0.5633250678031769,14.59938008523828,54.323518016272764,119.65633475397132,0.48601549786904297,57.996900426191395,25.7,3.2662533901588535,0.15298140255714837,3
marcus-williams-2,2006,13.679425837320574,65.04784688995215,1.467464114832536,21.373205741626794,,pac-12,,,122.6842105263158,1.6626794258373205,0.5142153110047847,382.0334928229665,0.4806602870813396,183.96172248803828,0.30513397129186604,116.37320574162679,0.7050861244019139,82.0,30.976076555023923,27.698564593301434,975.6124401913876,,,62.34928229665072,1.7698564593301436,64.04784688995215,,475.20095693779905,,Forward,,32.67464114832536,arizona,0.20037320574162676,76.42105263157895,0.33582775119617225,25.27751196172249,11.051674641148326,185.0334928229665,0.5431435406698564,14.251674641148325,73.16746411483254,305.6124401913876,0.517043062200957,158.68421052631578,25.523923444976077,3.4325358851674634,0.14125358851674644,2
nick-fazekas-1,2006,14.354867848778856,60.21947139511542,3.2648377383740383,48.35162261625962,,wac,,,253.0224155235865,3.357109401137504,0.5855834727333555,461.6135831381733,0.5542867179658748,255.03245232519237,0.35057109401137504,161.90030110404817,0.8472967547674807,137.14218802275008,32.35162261625962,32.35162261625962,997.8330545332888,,,96.75811308129809,4.835162261625961,68.72566075610573,,676.2619605219137,,Forward,,28.219471395115423,nevada,0.17080060220809637,79.76814988290398,0.3814212111073938,29.054867848778855,20.045132151221146,349.7805286048846,0.6290448310471729,10.426430244228838,62.24188691870191,381.8454332552693,0.5917032452325192,225.9775844764135,30.321947139511543,8.127433924389429,0.32590030110404816,4
glen-davis-1,2006,12.835012594458439,60.2367758186398,2.1440806045340053,32.68261964735516,,sec,,,195.4030226700252,3.18816120906801,0.5048387909319899,417.3476070528967,0.48796221662468514,203.9345088161209,0.5109093198992444,211.56926952141058,0.6996725440806045,147.6448362720403,31.521410579345087,30.8816120906801,1062.1057934508817,,,124.5264483627204,2.4720403022670028,74.92443324937028,,568.551637279597,,Forward,,37.40302267002519,louisiana-state,0.10166246851385392,39.63476070528967,0.31602267002518897,13.037783375314861,17.127959697732997,319.9294710327456,0.5502367758186398,14.48765743073048,87.04282115869017,377.71284634760707,0.5053602015113351,190.89672544080605,28.464483627204032,5.696221662468514,0.21404282115869017,3
jermareo-davidson-1,2006,8.1,41.892761394101875,3.8,65.78552278820375,,sec,,,186.10723860589812,2.324396782841823,0.43547721179624665,361.08310991957103,0.43158445040214477,155.67292225201072,0.4094879356568365,147.8391420911528,0.7648150134048257,113.1367292225201,30.351206434316353,30.351206434316353,996.0965147453084,,,71.07774798927613,0.6565683646112601,58.916890080428956,,427.07774798927613,,Forward,,24.053619302949063,alabama,0.03170777479892762,11.4343163538874,0.16219839142091153,2.5951742627345844,15.4,257.1849865951743,0.49585790884718495,11.52922252010724,55.970509383378015,349.64879356568366,0.43753083109919566,153.07774798927613,24.1,2.9809651474530834,0.11937533512064344,4
josh-mcroberts-1,2006,17.960074743070695,97.22547492992837,4.705014014325755,72.1002802865151,,acc,,,173.67549050140144,3.622516350046715,0.5389741513547182,289.3260666459047,0.5303241980691373,150.52538150109,0.4913737153534724,137.7502335720959,0.664,91.50015571473061,33.82497664279041,31.72500778573653,1086.7271877919652,,,66.80006228589224,1.909996885705388,89.59981314232327,,397.55091871691064,,Forward,,39.54998442852694,duke,0.06945001557147307,20.250077857365305,0.26319869199626283,5.0,13.315010900031142,240.47555278729368,0.5678492681407661,16.90999688570539,72.02522578635939,269.0759887885394,0.5499492369978201,145.52538150109,19.835035814388043,5.532513235752103,0.2022500778573653,2
chris-richard-1,2006,5.2,17.633193863319388,1.4,12.633193863319386,,sec,,,87.79916317991632,1.2,0.6925327754532775,141.05020920502093,0.6925327754532775,97.68340306834031,0.5226304044630404,73.8186889818689,0.6513779637377964,47.567642956764296,39.683403068340304,2.7336122733612274,717.9037656903765,,,56.98465829846583,2.2,89.15062761506276,,242.9344490934449,,Center,,13.316596931659694,florida,0.0,0.0,,0.0,12.100000000000001,144.78382147838215,0.6899651324965131,19.74518828451883,43.517433751743376,141.05020920502093,0.6925327754532775,97.68340306834031,14.899999999999999,3.3683403068340305,0.18848256624825663,4
derrick-byars-1,2006,20.9,109.86112913692408,0.6,4.920830629461388,,sec,,,102.87086307592472,1.2465282284231018,0.5611888384166127,395.75016223231665,0.46498053212199875,182.9792342634653,0.2615541855937703,104.425048669695,0.712534717715769,74.33614536015574,32.772225827384815,32.772225827384815,1030.552887735237,,,44.32641142115509,2.7000000000000006,77.62362102530824,,514.3835171966256,,Guard,,42.16807268007787,vanderbilt,0.48780272550292014,190.82089552238807,0.39387216093445815,74.08890330953926,7.1,147.19727449707983,0.582040233614536,15.31888384166126,77.54445165476963,204.9292667099286,0.531,108.89033095392602,21.2,4.015833874107723,0.15477222582738484,4
stephane-lasme-1,2006,5.2,28.86318758815233,11.4,150.73624823695346,,atlantic-10,,,166.84485190409026,3.9669957686882933,0.6104245416078985,243.8166431593794,0.6104245416078985,148.88716502115656,0.6902454160789844,168.72214386459802,0.6237263751763046,105.20310296191819,31.561354019746123,31.273624823695346,954.1805359661495,,,113.62764456981664,2.798589562764457,106.68406205923836,,402.97743300423133,,Forward,,26.698166431593794,massachusetts,0.0,0.0,,0.0,17.2,280.4724964739069,0.6220000000000001,18.172637517630466,71.80677009873061,243.8166431593794,0.6104245416078985,148.88716502115656,20.2,6.694358251057828,0.2790098730606488,4
dominic-mcguire-1,2006,,104.0,,114.0,,wac,,,244.0,4.4,0.502,325.0,0.47100000000000003,153.0,0.557,181.0,0.586,106.0,32.0,32.0,1054.0,,,70.0,1.4,91.0,,432.0,,Guard,,28.0,fresno-state,0.20600000000000002,67.0,0.299,20.0,,314.0,0.526,22.5,119.0,258.0,0.516,133.0,,5.8,0.21899999999999997,4
