year,player,affiliation,overall_pick,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goals,free_throw_attempt_rate,free_throw_attempt,free_throw_percentage,free_throws,minutes_played,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,win_shares,player_id,classification
2013,Pierre Jackson,Baylor,42,G,11.11,3.04,3.22,30.1,36.1,8.78,4.5,7.5,8.25,69.5,70.5,90.0,176.0,70.0,40.7,255,0.0,0,10.6,big-12,10.3,111.0,0.514,506,216,0.474,240,0.8,192,1252.0,2.2,24.0,80.0,712,2.5,54,0.484,245,0.359,88,6.2,135,0.574,16.4,122.0,261,0.49,128,29.5,7.0,pierre-jackson-1,Exclude
2000,Quentin Richardson,DePaul,18,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,,72,,9,,cusa,,,0.51,468,202,0.254,119,0.706,84,1150.0,,,75.0,561,,35,0.406,190,0.384,73,,325,0.535,12.8,77.0,278,0.46399999999999997,129,,5.0,quentin-richardson-1,Starter
2012,Quincy Acy,Baylor,37,F,10.48,3.1,3.28,32.0,37.0,13.0,7.1,9.5,11.0,78.5,79.75,106.5,223.8,86.75,6.5,38,6.6,70,9.5,big-12,20.0,183.0,0.5820000000000001,274,158,0.635,174,0.782,136,1130.0,10.9,99.0,117.0,455,1.8,35,0.018000000000000002,5,0.6,3,15.5,282,0.638,16.6,71.0,269,0.5760000000000001,155,19.0,5.6,quincy-acy-1,Role Player
2006,Quincy Douby,Rutgers,19,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,25.2,103,1.7,27,,big-east,,114.0,0.556,621,287,0.28300000000000003,176,0.847,149,1211.0,,27.0,61.0,839,,58,0.465,289,0.401,116,6.8,141,0.595,11.5,92.0,332,0.515,171,34.7,7.8,quincy-douby-1,Exclude
2012,Quincy Miller,Baylor,38,F,11.05,3.1,3.48,30.5,36.0,8.0,7.8,9.25,10.25,80.75,82.0,105.0,218.7,85.25,11.6,53,2.9,24,4.8,big-12,17.5,128.0,0.485,309,138,0.369,114,0.816,93,903.0,7.5,54.0,69.0,393,1.7,25,0.223,69,0.348,24,12.5,182,0.541,15.4,66.0,240,0.475,114,23.9,3.5,quincy-miller-1,Exclude
2010,Quincy Pondexter,Washington,26,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,11.2,63,1.8,21,,pac-10,15.0,158.0,0.547,464,245,0.48700000000000004,226,0.8270000000000001,187,1162.0,10.3,107.0,90.0,695,2.2,46,0.11,51,0.353,18,12.7,265,0.608,10.6,68.0,413,0.55,227,25.6,7.3,quincy-pondexter-1,Role Player
2006,Rajon Rondo,Kentucky,21,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,31.3,167,0.3,5,,sec,,172.0,0.511,305,147,0.39,119,0.5710000000000001,68,1054.0,,37.0,70.0,380,,69,0.21600000000000003,66,0.273,18,11.4,209,0.526,17.9,79.0,239,0.54,129,21.1,4.0,rajon-rondo-1,All-Star
2015,Rakeem Christmas,Syracuse,36,F,11.6,3.3,3.47,29.0,32.0,9.0,9.6,9.25,9.0,80.25,81.75,110.5,242.6,89.25,10.5,47,8.5,78,9.6,acc,19.6,185.0,0.552,368,203,0.519,191,0.7120000000000001,136,1064.0,10.2,97.0,105.0,542,1.7,29,0.003,1,0.0,0,14.9,282,0.591,14.5,78.0,367,0.5529999999999999,203,25.8,5.4,rakeem-christmas-1,Exclude
2007,Ramon Sessions,Nevada-Reno,56,G,11.65,3.04,3.27,29.5,33.5,8.0,6.2,8.46,9.1,74.0,75.75,97.5,185.0,76.25,27.9,159,0.5,7,,wac,,123.0,0.48200000000000004,310,140,0.461,143,0.825,118,1028.0,,38.0,41.0,417,,29,0.161,50,0.38,19,9.0,161,0.552,18.4,85.0,260,0.465,121,22.8,3.4,ramon-sessions-1,Starter
2006,Randy Foye,Villanova,7,G,10.53,3.04,3.23,32.0,38.0,14.0,10.0,8.46,9.1,74.25,75.25,97.0,212.0,78.25,21.3,100,1.4,21,,big-east,,136.0,0.49200000000000005,550,226,0.313,172,0.7909999999999999,136,1145.0,,54.0,71.0,677,,46,0.462,254,0.35,89,9.3,190,0.536,10.1,71.0,296,0.46299999999999997,137,30.8,5.7,randy-foye-1,Role Player
2002,Randy Holcomb,San Diego State,56,F,12.85,3.1,3.22,29.5,35.5,15.0,7.79,8.95,9.59,79.0,80.81,105.0,225.0,85.0,11.3,57,2.2,32,,mwc,,208.0,0.531,426,220,0.392,167,0.635,106,1067.0,,88.0,83.0,558,,24,0.094,40,0.3,12,15.9,296,0.552,18.7,116.0,386,0.539,208,28.1,4.5,randy-holcomb-1,Exclude
2005,Rashad McCants,North Carolina,14,G,10.39,3.04,3.11,32.5,34.5,15.0,6.39,8.46,9.1,74.75,76.0,103.5,201.0,82.75,18.7,88,1.7,22,,acc,,72.0,0.584,374,183,0.337,126,0.722,91,856.0,,27.0,80.0,528,,43,0.449,168,0.423,71,6.3,99,0.609,12.7,63.0,206,0.544,112,25.8,5.0,rashad-mccants-1,Exclude
2015,Rashad Vaughn,Nevada-Las Vegas,17,G,11.4,3.1,3.21,28.0,34.0,5.0,6.2,8.0,8.5,75.75,77.0,101.0,198.6,79.0,11.8,36,1.1,8,1.3,mwc,13.7,97.0,0.521,328,144,0.299,98,0.6940000000000001,68,742.0,2.3,14.0,54.0,410,1.5,18,0.43,141,0.38299999999999995,54,8.4,111,0.547,11.8,50.0,187,0.48100000000000004,90,30.8,2.5,rashad-vaughn-1,Exclude
2002,Rasual Butler,La Salle,52,F,11.54,3.1,3.29,31.5,37.5,10.0,7.79,8.95,9.59,78.75,80.81,105.5,198.0,84.0,,44,,43,,atlantic-10,,208.0,0.48700000000000004,537,233,0.32,172,0.855,147,1252.0,,75.0,55.0,670,,41,0.294,158,0.361,57,,283,0.541,12.0,84.0,379,0.46399999999999997,176,,5.5,rasual-butler-1,Role Player
2013,Ray McCallum,Detroit Mercy,36,G,10.82,3.08,3.25,30.5,40.0,5.0,7.3,8.0,8.75,72.25,73.75,96.5,191.4,75.25,23.8,147,1.8,20,7.1,horizon,14.3,124.0,0.539,436,214,0.47,205,0.7170000000000001,147,1208.0,4.0,43.0,66.0,617,3.0,64,0.298,130,0.32299999999999995,42,8.7,167,0.578,11.3,68.0,306,0.562,172,24.4,6.0,ray-mccallum-2,Exclude
2018,Ray Spalding,Louisville,56,F,11.48,3.2,3.34,26.0,32.0,12.0,5.55,9.25,9.0,81.0,82.25,109.0,215.4,88.75,9.6,46,6.3,62,10.0,acc,20.9,199.0,0.55,337,183,0.33799999999999997,114,0.64,73,995.0,13.2,113.0,107.0,444,3.1,54,0.055999999999999994,19,0.263,5,17.3,312,0.568,13.5,61.0,318,0.56,178,22.9,4.8,raymond-spalding-1,Exclude
2005,Raymond Felton,North Carolina,5,G,10.5,3.04,3.06,29.0,33.5,6.0,6.39,8.46,9.1,71.5,72.25,98.0,199.4,76.25,34.6,249,0.6,11,,acc,,132.0,0.561,330,150,0.406,134,0.701,94,1142.0,,23.0,71.0,464,,72,0.48200000000000004,159,0.44,70,7.4,155,0.589,24.7,129.0,171,0.46799999999999997,80,20.4,5.1,raymond-felton-1,Starter
2003,Reece Gaines,Louisville,15,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,,159,,4,,cusa,,76.0,0.56,383,177,0.514,197,0.736,145,1030.0,,18.0,82.0,574,,55,0.501,192,0.391,75,,94,0.602,16.6,95.0,191,0.534,102,,5.5,reece-gaines-1,Exclude
2013,Reggie Bullock,North Carolina,25,G,11.33,3.3,3.31,31.0,36.5,11.0,6.95,8.5,9.0,77.75,79.0,102.0,199.8,80.75,16.6,101,0.9,10,12.0,acc,17.2,155.0,0.607,356,172,0.205,73,0.767,56,1100.0,6.7,71.0,50.0,488,2.2,44,0.5670000000000001,202,0.436,88,11.5,226,0.625,9.9,43.0,154,0.545,84,18.5,5.7,reggie-bullock-2,Exclude
2011,Reggie Jackson,Boston College,24,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,29.7,152,1.7,18,9.1,acc,11.3,111.0,0.585,435,219,0.315,137,0.7959999999999999,109,1161.0,3.9,35.0,58.0,618,1.9,36,0.389,169,0.42,71,7.8,146,0.618,13.9,81.0,266,0.556,148,27.2,5.6,reggie-jackson-1,Starter
2006,Renaldo Balkman,South Carolina,20,F,11.58,3.1,3.22,30.5,35.0,9.0,4.9,8.95,9.59,77.25,78.5,104.5,206.0,85.0,15.8,73,3.8,48,,sec,,158.0,0.616,250,152,0.41600000000000004,104,0.5379999999999999,56,978.0,,81.0,84.0,364,,65,0.052000000000000005,13,0.308,4,15.5,239,0.608,17.8,65.0,237,0.624,148,20.4,5.6,renaldo-balkman-1,Starter
2001,Richard Jefferson,Arizona,13,F,11.19,3.1,3.15,33.0,38.5,14.0,6.7,8.95,9.59,79.25,80.81,103.0,223.0,84.0,,94,,28,,pac-10,,132.0,0.529,307,147,0.358,110,0.655,72,961.0,,58.0,98.0,397,,27,0.293,90,0.344,31,,190,0.5529999999999999,22.5,104.0,217,0.535,116,,4.4,richard-jefferson-1,Starter
2015,Richaun Holmes,Bowling Green,37,F,11.24,3.31,3.32,32.5,36.0,15.0,8.8,8.5,8.5,80.25,81.5,108.0,242.8,85.5,7.2,26,11.2,83,9.3,mac,20.9,160.0,0.594,293,165,0.522,153,0.7120000000000001,109,892.0,11.6,88.0,77.0,457,1.5,22,0.147,43,0.419,18,16.3,248,0.625,14.1,60.0,250,0.588,147,25.6,5.1,richaun-holmes-1,Starter
